"YearWeek","Percentage","State","Entropy","Actions","stat_code","act_code"
"2019_21",0.914634146341463,"very_low",4.58665552009073,"high",0,2
"2020_30",6.64451827242525,"very_low",4.35377516784127,"high",0,2
"2021_32",5.53571428571429,"very_low",4.0471369462354,"high",0,2
"2021_33",11.051930758988,"low",4.27388135391549,"high",1,2
"2021_38",11.6666666666667,"low",4.64537895133532,"high",1,2
"2022_12",11.1549851924975,"low",4.27721408149258,"high",1,2
"2022_14",1.15967885816235,"very_low",4.85460414426121,"high",0,2
"2022_7",32.6278659611993,"high",3.7099489813929,"medium",3,1
